subject,class,split,umap1,umap2
1,NoPain,train,-5.1367064,7.2548923
1,NoPain,train,10.759187,19.4278
1,NoPain,train,10.082079,19.82285
1,NoPain,train,-0.7148729,-3.795107
1,NoPain,train,-2.3310235,14.9349165
1,NoPain,train,0.8991562,-7.176821
1,NoPain,train,0.14912975,-5.329702
1,NoPain,train,-2.745282,2.4168186
1,NoPain,train,1.138842,-7.587833
1,NoPain,train,-2.0678327,-0.22575453
1,NoPain,train,-0.93760693,-3.4325001
1,NoPain,train,-2.6865673,2.297238
1,PainArm,train,-2.7924232,2.5050445
1,PainHand,train,1.8581896,19.835472
1,PainArm,train,9.382644,20.283606
1,PainHand,train,-0.45223695,18.108057
1,PainArm,train,0.89320546,19.17269
1,PainHand,train,-2.1950793,15.267164
1,PainArm,train,0.5266445,-6.208732
1,PainHand,train,1.4360918,-8.076651
1,PainArm,train,-0.19587822,-4.7140245
1,PainHand,train,0.5320341,-6.218543
1,PainArm,train,-2.2782285,0.45900446
1,PainHand,train,0.3780125,-5.8068233
1,PainArm,train,-1.8709023,-1.2433696
1,PainHand,train,-1.3086662,-2.7929988
1,PainArm,train,0.8205859,-7.038464
1,PainHand,train,-0.028870557,-5.0136604
1,PainArm,train,1.6103929,-8.303936
1,PainHand,train,0.75146616,-6.8951
1,PainArm,train,1.0114305,-7.3754063
1,PainHand,train,1.5527086,-8.233747
1,PainArm,train,1.8257042,-8.573449
1,PainHand,train,0.5124938,-6.207403
1,PainArm,train,0.63286537,-6.549192
1,PainHand,train,0.47185054,-6.059553
2,NoPain,train,-9.205005,3.5426834
2,NoPain,train,-9.205017,3.542685
2,NoPain,train,-9.205026,3.5427084
2,NoPain,train,-9.205077,3.542681
2,NoPain,train,-9.205136,3.542658
2,NoPain,train,2.2750263,-9.15966
2,NoPain,train,2.218652,-9.102028
2,NoPain,train,2.2333183,-9.116922
2,NoPain,train,3.2336705,-9.874713
2,NoPain,train,2.3056927,-9.192241
2,NoPain,train,2.2278495,-9.111453
2,NoPain,train,2.245556,-9.127799
2,PainArm,train,-9.205093,3.5426652
2,PainHand,train,3.2124724,-9.901075
2,PainArm,train,2.9759715,-9.946822
2,PainHand,train,2.2116427,-9.095304
2,PainArm,train,3.1057143,-9.913771
2,PainHand,train,3.3534877,-9.795218
2,PainArm,train,3.0622926,-9.920632
2,PainHand,train,2.2435265,-9.128526
2,PainArm,train,3.2776456,-9.836993
2,PainHand,train,3.3629694,-9.791478
2,PainArm,train,3.0543818,-9.940355
2,PainHand,train,3.223203,-9.875475
2,PainArm,train,3.3584301,-9.7938385
2,PainHand,train,3.32768,-9.825792
2,PainArm,train,3.2419844,-9.859055
2,PainHand,train,2.3966649,-9.290683
2,PainArm,train,2.3859274,-9.276374
2,PainHand,train,3.211113,-9.906386
2,PainArm,train,3.11448,-9.9179535
2,PainHand,train,2.455233,-9.354321
2,PainArm,train,2.7084696,-9.7012005
2,PainHand,train,2.9212666,-9.914468
2,PainArm,train,2.4747622,-9.37857
2,PainHand,train,2.4101882,-9.307436
4,NoPain,train,-4.7093315,6.273046
4,NoPain,train,-4.264034,10.055486
4,NoPain,train,-5.2845116,7.2488337
4,NoPain,train,-5.3198204,7.237458
4,NoPain,train,-4.2803288,10.029479
4,NoPain,train,-4.038929,10.567257
4,NoPain,train,-3.7351654,11.048312
4,NoPain,train,-4.2689624,10.046886
4,NoPain,train,-5.2664976,7.443944
4,NoPain,train,-1.7806032,16.124617
4,NoPain,train,-3.7376654,4.712004
4,NoPain,train,-3.6275408,4.513518
4,PainArm,train,-3.8389475,4.8764
4,PainHand,train,-3.9912486,5.143946
4,PainArm,train,-3.4641652,4.269564
4,PainHand,train,-5.3256817,7.20208
4,PainArm,train,-5.0289626,8.689881
4,PainHand,train,-4.5115395,6.0044293
4,PainArm,train,-3.7234075,11.05969
4,PainHand,train,-2.108929,15.491291
4,PainArm,train,-2.283471,15.04862
4,PainHand,train,-1.7771038,16.122583
4,PainArm,train,-5.056661,8.6645
4,PainHand,train,0.4933941,18.921034
4,PainArm,train,-4.838119,6.4707437
4,PainHand,train,-4.613129,6.1381974
4,PainArm,train,-4.726729,6.2970066
4,PainHand,train,-1.3849329,16.958658
4,PainArm,train,-2.1699045,15.301677
4,PainHand,train,-4.1797376,10.227579
4,PainArm,train,-3.9856465,10.653086
4,PainHand,train,-5.269442,7.396134
4,PainArm,train,-5.253254,7.1624956
4,PainHand,train,-2.1247983,15.456213
4,PainArm,train,-2.3301265,14.954879
4,PainHand,train,-1.1102403,17.36896
5,NoPain,train,4.3562484,20.857403
5,NoPain,train,7.826011,20.973114
5,NoPain,train,11.20188,13.638761
5,NoPain,train,11.133177,17.48593
5,NoPain,train,11.073055,16.47523
5,NoPain,train,9.886804,10.005714
5,NoPain,train,9.722561,8.2967825
5,NoPain,train,11.189689,13.543124
5,NoPain,train,9.965452,10.40769
5,NoPain,train,9.724757,8.201455
5,NoPain,train,9.702601,8.334908
5,NoPain,train,9.740067,8.3284025
5,PainArm,train,10.60731,19.445433
5,PainHand,train,11.279269,13.719583
5,PainArm,train,7.4792323,21.117289
5,PainHand,train,9.941766,10.153827
5,PainArm,train,10.947144,18.694168
5,PainHand,train,11.262608,16.035841
5,PainArm,train,7.5580997,21.077215
5,PainHand,train,10.244935,19.670769
5,PainArm,train,10.757154,18.540945
5,PainHand,train,11.227446,14.291401
5,PainArm,train,9.816214,9.686246
5,PainHand,train,11.005736,17.708488
5,PainArm,train,6.927313,21.163933
5,PainHand,train,11.328095,14.344631
5,PainArm,train,10.224914,19.701416
5,PainHand,train,11.139163,16.153793
5,PainArm,train,11.127251,14.659027
5,PainHand,train,7.7205563,21.040424
5,PainArm,train,1.0540912,19.266819
5,PainHand,train,11.329738,13.702341
5,PainArm,train,11.091697,15.844495
5,PainHand,train,11.258282,14.158776
5,PainArm,train,2.304766,20.039818
5,PainHand,train,10.822365,12.6135
6,NoPain,train,10.842633,3.725692
6,NoPain,train,2.019882,19.916689
6,NoPain,train,16.983805,3.0869083
6,NoPain,train,14.8353405,-3.2443235
6,NoPain,train,14.816044,-3.20087
6,NoPain,train,16.942368,-1.1410732
6,NoPain,train,16.669147,2.0809064
6,NoPain,train,-1.9855602,15.646573
6,NoPain,train,14.371174,-2.7426507
6,NoPain,train,16.174871,-0.86649364
6,NoPain,train,14.52221,-2.8510914
6,NoPain,train,14.541406,4.3454533
6,PainArm,train,10.76039,18.567684
6,PainHand,train,16.19455,-0.48804548
6,PainArm,train,-0.6612774,17.87595
6,PainHand,train,14.58632,-2.3442137
6,PainArm,train,16.564867,2.0748625
6,PainHand,train,10.752595,18.529093
6,PainArm,train,14.530465,-2.4083889
6,PainHand,train,14.458932,-2.4945655
6,PainArm,train,15.227297,3.891814
6,PainHand,train,16.044588,-1.2587223
6,PainArm,train,14.378402,-2.6055071
6,PainHand,train,14.349325,-2.6681726
6,PainArm,train,14.420213,-2.5471628
6,PainHand,train,14.439156,-2.521643
6,PainArm,train,14.37988,-2.660316
6,PainHand,train,14.370401,-2.6462345
6,PainArm,train,14.371568,-2.7274005
6,PainHand,train,14.376595,-2.7426543
6,PainArm,train,14.3514185,-2.7132802
6,PainHand,train,4.2046223,20.79115
6,PainArm,train,16.108421,-1.3244376
6,PainHand,train,17.167479,-0.7967909
6,PainArm,train,14.393256,-2.724072
6,PainHand,train,14.539916,-2.8680837
8,NoPain,train,2.9628208,-9.997429
8,NoPain,train,2.9672735,-9.982644
8,NoPain,train,2.9833498,-9.957489
8,NoPain,train,2.945983,-9.974289
8,NoPain,train,2.9206338,-9.925024
8,NoPain,train,9.909428,10.045851
8,NoPain,train,9.933606,5.8372355
