subject,class,split,umap1,umap2
1,NoPain,train,-1.3207172,-2.4762795
1,NoPain,train,-1.6369071,-2.4586334
1,NoPain,train,-1.9128073,-2.3873992
1,NoPain,train,-1.6047996,-3.0763834
1,NoPain,train,-1.9371208,-2.7683773
1,NoPain,train,3.4627306,-0.7024555
1,NoPain,train,3.5362017,-1.1028261
1,NoPain,train,-1.6574615,-2.8487887
1,NoPain,train,3.5913074,-0.9907514
1,NoPain,train,-0.028263357,1.0989896
1,NoPain,train,0.67751324,-2.290059
1,NoPain,train,-1.1434067,-2.1078126
1,PainArm,train,0.020850362,-2.3416674
1,PainHand,train,0.5918791,-1.6419598
1,PainArm,train,-1.7973684,-1.5616754
1,PainHand,train,1.805696,0.90787417
1,PainArm,train,0.16872384,0.5353369
1,PainHand,train,1.9936258,1.0340701
1,PainArm,train,2.9336252,0.7608406
1,PainHand,train,-0.07333417,0.74725246
1,PainArm,train,-0.11574193,0.8238473
1,PainHand,train,4.4783087,0.6146437
1,PainArm,train,1.6781641,-0.6023075
1,PainHand,train,4.4951844,0.46079752
1,PainArm,train,2.2804277,0.7549902
1,PainHand,train,3.837653,0.23431152
1,PainArm,train,1.2139555,1.827175
1,PainHand,train,2.352875,0.10722158
1,PainArm,train,3.15514,-0.5706365
1,PainHand,train,3.1849375,-0.26479965
1,PainArm,train,3.511972,-1.0937828
1,PainHand,train,3.5463285,-0.58753407
1,PainArm,train,3.9399772,-0.9902148
1,PainHand,train,4.0488176,-0.77345806
1,PainArm,train,3.4336352,-1.2658395
1,PainHand,train,3.271936,-1.4862471
2,NoPain,train,0.91679347,0.9442851
2,NoPain,train,0.62282234,1.1230115
2,NoPain,train,0.5251053,0.9917046
2,NoPain,train,0.9111382,0.97379917
2,NoPain,train,0.9300787,0.98180896
2,NoPain,train,-0.9635621,-3.1461499
2,NoPain,train,-1.6515559,-2.9947186
2,NoPain,train,-1.6917899,-2.7214108
2,NoPain,train,-0.045047488,-3.127803
2,NoPain,train,0.95167845,-2.168175
2,NoPain,train,-1.6969796,-2.9529388
2,NoPain,train,-1.5784892,-2.7306118
2,PainArm,train,0.84938216,1.0707219
2,PainHand,train,4.5719423,0.26632166
2,PainArm,train,2.152045,0.6533776
2,PainHand,train,0.04477561,-1.9777497
2,PainArm,train,3.829938,1.4803572
2,PainHand,train,3.5265157,1.4232198
2,PainArm,train,1.2933996,-1.8951807
2,PainHand,train,0.617987,-1.1395645
2,PainArm,train,3.815486,1.5353243
2,PainHand,train,2.6802561,1.5574883
2,PainArm,train,1.2318985,-2.0036695
2,PainHand,train,3.7096505,1.576026
2,PainArm,train,3.8295882,1.4336154
2,PainHand,train,3.734778,1.5203389
2,PainArm,train,0.5865031,-2.402317
2,PainHand,train,1.4573563,-2.1310253
2,PainArm,train,2.540586,-1.4756564
2,PainHand,train,2.5901394,-1.4091312
2,PainArm,train,-1.3985753,-2.9309137
2,PainHand,train,-0.22745264,-1.7992167
2,PainArm,train,2.8508506,-1.4539362
2,PainHand,train,-1.4829526,-1.3672273
